date,platform,source,title,titleOriginal,summary,sourceUrl
2026-01-08,meta,Meta Developers Blog,Ads Insights Async API 增强错误提示功能,Enhanced Error Messaging for Ads Insights Async API,Meta 正在增强 Ads Insights Async API GET {AD_REPORT_RUN_ID} 端点的错误报告功能，旨在提升开发者体验的透明度，并帮助开发者构建更稳定、更有韧性的应用程,https://developers.facebook.com/blog/post/2026/01/08/enhanced-error-messaging-for-ads-insights-async-api/
2026-01-08,meta,Meta for Business News,Kepler如何帮助easyJet发现其Meta广告的真实影响力,How Kepler helped easyJet discover the true impact of their ads on Meta technologies,独立代理公司Kepler与easyJet及其分析合作伙伴route1.io合作，帮助easyJet精准衡量Meta平台上广告的真实影响，恢复了优化预算以推动增长的信心。该案例为广告主提供了效果归因和预,https://www.facebook.com/business/news/meta-ad-measurement-kepler-easyjet
2026-01-14,meta,Meta for Business News,Threads广告一周年——现已覆盖全球所有用户和市场,Ads on Threads: One Year In – Now Reaching All Users and Markets Globally,Threads广告正式扩展至全球所有用户和市场，为广告主提供一个快速增长的对话平台触达目标受众。广告投放团队应抓住这一新渠道机会，考虑将Threads纳入跨平台营销策略，特别针对追求年轻用户群体和实时,https://www.facebook.com/business/news/ads-on-threads-one-year-in
2026-01-30,meta,Messenger Platform Changelog,Page Integrity API 正式发布,Page Integrity API,通过 Page Integrity Webhook 和 API，企业现在可以实时获取页面的完整性信息，包括完整性状态、违规记录、限制措施、建议操作（如提交申诉）以及申诉状态。这为广告投放团队提供了监控,https://developers.facebook.com/docs/messenger-platform/changelog
2026-01-30,meta,Threads Platform Changelog,非Instagram关联账号现可获取粉丝数和粉丝画像指标,Threads profiles without a linked Instagram account can now access the followers_count and follower_demographics user metrics,Threads API更新：未关联Instagram账号的Threads用户现在可以访问followers_count（粉丝数）和follower_demographics（粉丝画像）指标。这意味着纯,https://developers.facebook.com/docs/threads
2026-01-30,meta,Facebook Pages API Changelog,新增 Page Integrity API,[New] Page Integrity API,Meta 推出全新 Page Integrity API 及 Webhook，允许开发者实时获取 Page 的完整性信息，包括违规状态（violations）、受限情况（restrictions）、推,https://developers.facebook.com/docs/pages-api
2026-02-06,meta,Instagram Platform Changelog,Instagram OAuth授权新增enable_fb_login参数支持,Added support for the enable_fb_login parameter in Instagram OAuth authorization requests,在Instagram OAuth授权请求中新增enable_fb_login参数支持，开发者可控制Instagram登录页面是否显示Facebook登录选项。该参数默认值为true。对于同时管理Fac,https://developers.facebook.com/docs/instagram-platform/changelog
2026-02-13,meta,Meta Developers Blog,ASC和AAC弃用 - MAPI V25.0,ASC and AAC deprecation MAPI V25.0,自动化统一（Automation Unification）推动App、Sales和Leads广告系列默认采用最优的自动化优先 Advantage+ 设置，使广告主和合作伙伴能够简化访问Meta最新且性,https://developers.facebook.com/blog/post/2026/02/13/asc-and-aac-deprecation-mapi-v25/
2026-02-18,meta,Facebook Marketing API Changelog,Graph API v25.0 正式发布,Graph API v25.0 Released,Meta 发布 Graph API v25.0 版本（2026年2月18日），Marketing API v25.0 同时发布。该版本为当前最新稳定版本，将作为未来主要支持版本。开发者可通过升级指南升,https://developers.facebook.com/docs/graph-api/changelog
2026-02-18,meta,Meta Developers Blog,Graph API v25.0 和 Marketing API v25.0 正式发布,Introducing Graph API v25.0 and Marketing API v25.0,Meta 发布 Graph API v25.0 和 Marketing API v25.0 版本。主要更新包括：Graph API 将引入 Page Viewer Metric（页面浏览量指标），计划,https://developers.facebook.com/blog/post/2026/02/18/introducing-graph-api-v25-and-marketing-api-v25/
